https://arxiv.org/pdf/nucl-th/9406039
TABLE V. np phase shifts in degrees. For each energy the rows give the values from the
Nijmegen multienergy partial-wave analysis [1], the non-local Nijm I potential, the local Nijm II
potential, and the Reid93 potential, respectively.
Tlab 1S0 3P0 1P1 3P1 3S1 ε1 3D1 1D2 3D2 3P2 ε2 3F2
1 62.07 0.18 -0.19 -0.11 147.75 0.11 -0.01 0.00 0.01 0.02 -0.00 0.00
1 62.11 0.18 -0.19 -0.11 147.76 0.10 -0.01 0.00 0.01 0.02 -0.00 0.00
1 62.09 0.18 -0.19 -0.11 147.75 0.10 -0.01 0.00 0.01 0.02 -0.00 0.00
1 61.89 0.18 -0.19 -0.11 147.73 0.10 -0.01 0.00 0.01 0.02 -0.00 0.00
5 63.63 1.63 -1.49 -0.94 118.18 0.67 -0.18 0.04 0.22 0.25 -0.05 0.00
5 63.74 1.62 -1.50 -0.93 118.19 0.67 -0.18 0.04 0.22 0.25 -0.05 0.00
5 63.66 1.60 -1.52 -0.93 118.17 0.66 -0.18 0.04 0.22 0.25 -0.05 0.00
5 63.23 1.61 -1.48 -0.93 118.15 0.66 -0.18 0.04 0.22 0.26 -0.05 0.00
10 59.95 3.65 -3.04 -2.06 102.61 1.16 -0.68 0.16 0.85 0.71 -0.18 0.01
10 60.10 3.64 -3.08 -2.05 102.62 1.15 -0.68 0.16 0.85 0.71 -0.18 0.01
10 59.99 3.61 -3.11 -2.04 102.59 1.13 -0.67 0.16 0.85 0.71 -0.18 0.01
10 59.46 3.64 -3.04 -2.05 102.59 1.14 -0.67 0.16 0.85 0.72 -0.18 0.01
25 50.90 8.13 -6.31 -4.88 80.63 1.79 -2.80 0.68 3.71 2.56 -0.76 0.09
25 51.04 8.16 -6.42 -4.86 80.59 1.77 -2.80 0.69 3.72 2.57 -0.75 0.09
25 50.88 8.09 -6.51 -4.84 80.56 1.73 -2.80 0.68 3.72 2.56 -0.75 0.09
25 50.41 8.24 -6.37 -4.85 80.63 1.74 -2.75 0.67 3.73 2.61 -0.75 0.09
50 40.54 10.70 -9.67 -8.25 62.77 2.11 -6.43 1.73 8.97 5.89 -1.63 0.30
50 40.56 10.81 -9.80 -8.25 62.64 2.09 -6.45 1.72 8.98 5.88 -1.61 0.31
50 40.35 10.76 -9.96 -8.24 62.62 2.00 -6.45 1.72 8.97 5.87 -1.62 0.31
50 40.18 11.13 -9.89 -8.26 62.78 2.03 -6.31 1.69 9.00 6.00 -1.60 0.30
100 26.78 8.46 -14.52 -13.24 43.23 2.42 -12.24 3.90 17.27 10.94 -2.58 0.76
100 26.44 8.57 -14.42 -13.30 42.98 2.44 -12.26 3.83 17.26 10.89 -2.54 0.76
100 26.18 8.65 -14.59 -13.33 42.95 2.25 -12.31 3.85 17.22 10.88 -2.54 0.77
100 26.32 9.22 -14.91 -13.38 43.18 2.36 -12.07 3.79 17.12 11.21 -2.54 0.74
150 16.93 3.69 -18.65 -17.46 30.72 2.75 -16.49 5.79 22.12 13.84 -2.80 1.12
150 16.33 3.67 -18.23 -17.56 30.47 2.83 -16.45 5.77 22.15 13.80 -2.79 1.11
150 16.02 3.83 -18.32 -17.59 30.40 2.59 -16.61 5.78 22.05 13.78 -2.78 1.12
150 16.11 4.47 -18.91 -17.68 30.67 2.82 -16.30 5.68 21.72 14.27 -2.82 1.08
200 8.94 -1.44 -22.18 -21.30 21.22 3.13 -19.71 7.29 24.50 15.46 -2.70 1.33
200 8.27 -1.60 -21.51 -21.41 21.08 3.27 -19.62 7.43 24.61 15.48 -2.73 1.28
200 7.92 -1.42 -21.52 -21.38 20.98 3.03 -19.85 7.38 24.49 15.42 -2.71 1.31
200 7.83 -0.74 -22.15 -21.55 21.31 3.40 -19.46 7.26 23.96 16.01 -2.79 1.27
250 1.96 -6.51 -25.14 -24.84 13.39 3.56 -22.21 8.53 25.40 16.39 -2.49 1.35
250 1.48 -6.69 -24.28 -24.93 13.46 3.70 -22.13 8.78 25.48 16.47 -2.56 1.26
250 1.10 -6.55 -24.22 -24.78 13.35 3.55 -22.34 8.68 25.46 16.39 -2.54 1.32
250 0.86 -5.80 -24.71 -25.08 13.81 4.05 -21.84 8.55 24.81 17.02 -2.61 1.28
300 -4.46 -11.47 -27.58 -28.07 6.60 4.03 -24.14 9.69 25.45 16.95 -2.30 1.19
300 -4.43 -11.46 -26.52 -28.17 7.00 4.10 -24.21 9.82 25.32 17.08 -2.36 1.06
300 -4.84 -11.43 -26.43 -27.85 6.90 4.12 -24.26 9.73 25.52 16.99 -2.35 1.14
300 -5.17 -10.57 -26.69 -28.31 7.55 4.74 -23.64 9.63 24.84 17.64 -2.36 1.12
350 -10.58 -16.39 -29.66 -30.97 0.50 4.57 -25.57 10.96 25.08 17.31 -2.18 0.87
350 -9.70 -15.90 -28.25 -31.14 1.36 4.47 -26.00 10.60 24.48 17.44 -2.19 0.69
350 -10.10 -16.01 -28.17 -30.60 1.30 4.74 -25.74 10.59 25.02 17.40 -2.18 0.81
350 -10.47 -15.02 -28.15 -31.27 2.20 5.45 -25.00 10.55 24.40 18.03 -2.09 0.82
