Phase shifts for n-p scattering from Argonne potential. Taken from https://arxiv.org/abs/1603.05382
1S0
1 62.244 62.061 62.096 62.031 62.121 61.161 61.988 62.032 61.904 62.021
5 63.685 63.560 63.563 63.518 63.553 62.458 63.293 63.298 63.238 63.257
10 59.607 59.841 59.819 59.774 59.811 59.195 59.492 59.507 59.478 59.495
25 50.752 50.658 50.634 50.643 50.620 50.645 50.419 50.431 50.423 50.425
50 40.242 40.109 40.098 40.110 40.088 40.219 40.183 40.194 40.224 40.210
100 26.283 25.993 26.021 26.031 26.012 26.394 26.300 26.320 26.320 26.317
150 16.073 15.962 15.978 15.972 15.963 16.116 16.090 16.095 16.094 16.099
200 8.134 7.971 7.986 7.967 7.973 7.882 7.821 7.822 7.813 7.823
250 1.386 1.259 1.272 1.265 1.259 0.866 0.845 0.844 0.842 0.841
300 -4.458 -4.568 -4.657 -4.622 -4.560 -5.079 -5.193 -5.184 -5.230 -5.188
350 -9.713 -9.743 -9.756 -9.771 -9.789 -10.506 -10.500 -10.491 -10.531 -10.484
3P0
1 0.182 0.182 0.197 0.192 0.195 0.172 0.172 0.173 0.181 0.173
5 1.678 1.676 1.667 1.654 1.675 1.607 1.602 1.621 1.622 1.622
10 3.791 3.785 3.792 3.787 3.791 3.655 3.643 3.654 3.663 3.643
25 8.442 8.435 8.442 8.432 8.423 8.273 8.245 8.247 8.261 8.247
50 11.131 11.120 11.124 11.146 11.148 11.142 11.123 11.126 11.149 11.146
100 8.807 8.798 8.801 8.813 8.840 9.297 9.208 9.212 9.235 9.211
150 3.870 3.865 3.867 3.865 3.862 4.505 4.443 4.445 4.464 4.456
200 -1.381 -1.359 -1.356 -1.371 -1.368 -0.732 -0.768 -0.764 -0.754 -0.765
250 -6.337 -6.353 -6.351 -6.362 -6.355 -5.881 -5.832 -5.836 -5.843 -5.833
300 -11.025 -11.009 -11.006 -11.090 -11.062 -10.596 -10.611 -10.606 -10.624 -10.607
350 -15.347 -15.318 -15.325 -15.334 -15.326 -15.055 -15.068 -15.061 -15.072 -15.062
1P1
1 -0.178 -0.178 -0.190 -0.191 -0.191 -0.188 -0.187 -0.187 -0.184 -0.185
5 -1.490 -1.486 -1.515 -1.540 -1.526 -1.495 -1.486 -1.487 -1.493 -1.486
10 -3.114 -3.101 -3.110 -3.125 -3.128 -3.069 -3.045 -3.047 -3.055 -3.048
25 -6.508 -6.478 -6.488 -6.501 -6.489 -6.452 -6.376 -6.373 -6.377 -6.374
50 -9.895 -9.851 -9.854 -9.854 -9.852 -10.064 -9.899 -9.894 -9.912 -9.895
100 -14.277 -14.201 -14.203 -14.215 -14.214 -15.241 -14.939 -14.926 -14.947 -14.937
150 -17.791 -17.677 -17.678 -17.682 -17.679 -19.335 -18.951 -18.939 -18.950 -18.949
200 -20.953 -20.790 -20.792 -20.808 -20.793 -22.629 -22.176 -22.165 -22.181 -22.177
250 -23.829 -23.645 -23.646 -23.691 -23.677 -25.224 -24.740 -24.725 -24.735 -24.729
300 -26.500 -26.274 -26.276 -26.294 -26.287 -27.218 -26.716 -26.697 -26.712 -26.701
350 -28.969 -28.706 -28.704 -28.725 -28.716 -28.777 -28.185 -28.161 -28.165 -28.167
3P1
1 -0.104 -0.104 -0.105 -0.112 -0.107 -0.104 -0.103 -0.107 -0.110 -0.104
5 -0.924 -0.922 -0.923 -0.930 -0.925 -0.924 -0.921 -0.931 -0.940 -0.932
10 -2.052 -2.046 -2.047 -2.052 -2.046 -2.054 -2.047 -2.048 -2.053 -2.047
25 -4.850 -4.829 -4.830 -4.843 -4.829 -4.879 -4.854 -4.856 -4.864 -4.858
50 -8.211 -8.161 -8.162 -8.181 -8.168 -8.327 -8.268 -8.269 -8.271 -8.269
100 -13.191 -13.087 -13.088 -13.104 -13.089 -13.504 -13.387 -13.388 -13.402 -13.390
150 -17.448 -17.311 -17.313 -17.330 -17.315 -17.849 -17.695 -17.696 -17.715 -17.706
200 -21.404 -21.254 -21.255 -21.275 -21.257 -21.751 -21.568 -21.564 -21.568 -21.568
