Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector, front event, back event 
101.80409768650861, 2.5029261, 4.4716734, 1, 11,3293178, 3293178
58.68684131755845, 17.811303, 9.940302899999999, 2, 12,6308753, 6308753
88.92039722670506, 3.010018, 5.0652905, 3, 1,3028340, 3028340
114.39325622060915, 0.0248707, 11.558869999999999, 3, 3,8743597, 8743597
91.65161069751639, 2.5659548, 4.947145, 3, 6,8380254, 8380254
27.114053442042177, 14.8039062, 2.24922099, 3, 11,2319259, 2319259
15.212273334260772, 0.225754, 0.526612, 4, 2,8287591, 8287586
95.77737344830666, 0.7807124999999999, 5.074094499999999, 4, 4,3518234, 3518234
50.48791029889492, 29.64314, 11.0417932, 4, 4,4015908, 4015908
20.421346375965868, 7.4048300000000005, 11.8966, 4, 10,7016668, 7016668
17.22441777751419, 15.54833, 1.3049135, 4, 11,3935735, 3935736
87.193868287633, 0.6677908, 5.130884, 7, 11,4049463, 4049463
33.93596940857526, 20.006682198100002, 12.9197, 8, 2,1636210, 1636210
65.34752546137327, 22.892627235, 0.031623, 8, 3,330683, 330683
55.690126727949746, 16.8709835, 10.1401975, 10, 10,9183549, 9183549
83.64331796688896, 1.740053, 5.7314815, 11, 6,5160427, 5160427
28.748110445948782, 23.47786, 1.40557, 13, 1,5749716, 5749716
17.321356078470217, 11.97491, 3.1918, 13, 5,4160804, 4160804
58.22466992462364, 13.048869, 9.297607, 13, 5,4490918, 4490918
108.82364823493504, 0.0258078, 0.195384, 1, 6,9037315, 9037315
77.36095629617557, 3.8720381708000002, 0.735895, 1, 10,8934312, 8934312
24.39302505395642, 7.546867670799999, 0.200879, 1, 12,4459445, 4459447
97.68572172599693, 0.00226318, 15.7578611608, 4, 2,1744024, 1744024
87.43621378263742, 0.4169527, 4.45809, 4, 12,8773349, 8773349
104.2832616387891, 4.1044897, 0.284107, 5, 6,7970920, 7970920
119.8250442480064, 0.0994807, 0.0136259, 5, 11,621447, 621447
59.170144689495146, 2.752785, 7.3717886, 5, 11,8618638, 8618638
93.62349369505137, 3.3307472, 2.2144706, 6, 4,4370136, 4370136
59.83005479481494, 0.5904638, 6.555266, 6, 4,9084090, 9084090
68.4728306203051, 22.39753213, 6.6063582, 6, 10,7874637, 7874637
103.83662510806448, 1.0255253, 4.7134421, 7, 2,2951850, 2951850
114.2572131858401, 0.0168705, 0.741954, 7, 2,9051887, 9051887
81.35455055379839, 27.64184946, 8.0383753, 8, 2,7176939, 7176939
681.4333412605608, 0.20831, 1.8889301, 8, 12,311708, 311706
75.91517072460124, 4.182844070800001, 3.6600226, 8, 12,5943179, 5943179
76.13713764136253, 11.928425500000001, 6.5332628999999995, 9, 1,5048351, 5048351
97.1922856643198, 0.0453074, 12.8705, 11, 12,9801487, 9801487
367.65949539637563, 0.0455848, 0.284107, 12, 6,7970920, 7970920
108.87594425230986, 0.187127, 4.575475, 13, 11,6853508, 6853508
101.61828736990901, 0.649174, 4.8829498, 3, 4,7923710, 7923710
97.6160920749262, 3.02981, 0.3229392, 4, 10,8301246, 8301246
105.61398862010901, 3.1420151, 4.5026643, 5, 5,3108085, 3108085
625.3284880363426, 1.11929, 2.2133718, 5, 6,3158047, 3158045
3.031404504913212, 1.91712, 3.1601168488000004, 7, 2,4166266, 4166263
113.52732103277117, 0.0631727, 4.88853, 8, 3,2702848, 2702848
4.786887968233032, 2.2006, 0.290832, 8, 11,3784836, 3784837
1.9991074394899897, 0.209659, 40.53774, 8, 12,2427217, 2427218
100.56795546148805, 3.6792834, 0.62139564, 10, 1,3302955, 3302955
87.90593244910474, 3.5809762, 5.5127434, 10, 2,9666886, 9666886
69.16252519117586, 8.4222688, 4.35196, 10, 5,2274939, 2274939
47.04323759299041, 17.162671692, 15.7872, 10, 10,1828182, 1828182
34.68068711039189, 25.461936, 0.00902977, 11, 2,6671397, 6671397
46.755486452805485, 24.3675568, 9.76985, 1, 6,2187617, 2187617
102.06487127303194, 2.4426519, 2.5316023, 1, 9,9268009, 9268009
28.312812805782187, 27.20375, 0.0542681, 2, 1,7325377, 7325380
51.518619876874936, 9.0313361, 9.787909500000001, 2, 10,7454791, 7454791
63.08246618329201, 7.6174306, 7.2611759000000005, 2, 11,2881276, 2881276
101.22770288919878, 0.251808, 3.7559327000000002, 3, 9,4662095, 4662095
6.993754228822468, 0.246681, 7.32339542, 4, 3,6931899, 6931898
95.65574711941986, 0.0261909, 3.44576, 4, 6,221203, 221203
92.31677921307505, 0.034381, 6.2654864347, 4, 11,3028681, 3028681
25.95087291462005, 7.2045476708, 20.660877, 5, 1,6253144, 6253145
108.94697915032361, 1.14184, 4.1269862, 5, 6,9621598, 9621598
116.9427038739309, 0.0038601, 0.601174, 5, 10,2874594, 2874594
117.32774758801497, 0.00534348, 33.72721, 6, 12,2892294, 2892294
95.92258900709658, 0.0308804, 0.358561, 7, 3,162317, 162317
31.21220030147333, 23.185857670799997, 1.83868, 8, 10,6062012, 6062012
49.20070089864464, 8.6513521, 10.8397855, 11, 2,5107440, 5107440
126.91506939681585, 3.166198, 0.0648622, 11, 11,5970995, 5970995
17.13316459058649, 4.00509, 12.1831176708, 13, 6,8215987, 8215986
38.8264030027957, 7.64633, 0.0127022, 2, 12,5291685, 5291685
92.80928477221346, 1.31331, 4.7599954, 4, 1,2177809, 2177809
69.13822059207746, 4.328626699999999, 6.286767299999999, 4, 9,7516574, 7516574
97.91592313474803, 2.7290073, 4.715480100000001, 4, 11,3222058, 3222058
74.81198404594284, 11.312409035, 6.334838400000001, 5, 4,4635983, 4635983
106.58670121359455, 0.0417896, 0.411023, 5, 6,506615, 506615
98.39110792936435, 2.0005898, 4.547778500000001, 5, 6,8130030, 8130030
73.30116196902384, 0.488397, 7.9492288, 5, 8,2253965, 2253965
98.48896016950926, 4.3641012, 1.38571523, 6, 10,7531198, 7531198
44.55703484360981, 39.98021, 0.677427, 7, 6,3564501, 3564502
90.49905319121353, 4.8144160000000005, 5.4176639, 8, 8,771632, 771632
1913.1980880521369, 0.16794, 4.7599954, 10, 1,2177809, 2177809
66.46026659880533, 10.2138206708, 7.9492288, 10, 8,2253965, 2253965
97.89776468828359, 0.0541304, 0.557804, 10, 11,9962915, 9962915
51.50722713029916, 35.396356, 14.6424, 10, 12,5291515, 5291515
28.560766843088118, 8.271892, 19.166, 11, 5,6227819, 6227819
106.57221484738398, 2.017705, 2.4346096999999998, 11, 5,8446246, 8446246
30.519495271129813, 15.535600000000002, 13.7171, 11, 12,6321126, 6321126
96.14912607591691, 3.5594696, 4.6505088, 12, 3,6726713, 6726713
1.240616206358709, 0.145122, 17.99698, 12, 3,8376272, 8376270
108.32738727171022, 2.2919359999999998, 4.4202425, 12, 12,3873337, 3873337
88.92573839466286, 4.935967499999999, 4.7574624, 13, 1,8120948, 8120948
85.78877451294693, 1.5286998, 5.012668, 13, 4,239206, 239206
1.996703824441738, 0.0735045, 1.0183, 1, 5,6431664, 6431662
39.240011943919626, 7.0000648000000005, 13.883257, 1, 6,1465186, 1465186
