x, y, z, size, front
0.01, 0.01, 0.12, 0.006, true
0.01, 0.0, -0.12, 0.006, false
0.01, -0.01, 0.12, 0.006, true
0.0, -0.01, -0.12, 0.006, false
-0.01, -0.01, 0.12, 0.006, true
-0.01, 0.0, -0.12, 0.006, false
-0.01, 0.01, 0.12, 0.006, true
0.0, 0.01, -0.12, 0.006, false
0.02, 0.02, 0.12, 0.006, true
0.02, 0.01, -0.12, 0.006, false
0.02, 0.0, 0.12, 0.006, true
0.02, -0.01, -0.12, 0.006, false
0.02, -0.02, 0.12, 0.006, true
0.01, -0.02, -0.12, 0.006, false
0.0, -0.02, 0.12, 0.006, true
-0.01, -0.02, -0.12, 0.006, false
-0.02, -0.02, 0.12, 0.006, true
-0.02, -0.01, -0.12, 0.006, false
-0.02, 0.0, 0.12, 0.006, true
-0.02, 0.01, -0.12, 0.006, false
-0.02, 0.02, 0.12, 0.006, true
-0.01, 0.02, -0.12, 0.006, false
0.0, 0.02, 0.12, 0.006, true
0.01, 0.02, -0.12, 0.006, false
0.03, 0.03, 0.12, 0.006, true
0.03, 0.02, -0.12, 0.006, false
0.03, 0.01, 0.12, 0.006, true
0.03, 0.0, -0.12, 0.006, false
0.03, -0.01, 0.12, 0.006, true
0.03, -0.02, -0.12, 0.006, false
0.03, -0.03, 0.12, 0.006, true
0.02, -0.03, -0.12, 0.006, false
0.01, -0.03, 0.12, 0.006, true
0.0, -0.03, -0.12, 0.006, false
-0.01, -0.03, 0.12, 0.006, true
-0.02, -0.03, -0.12, 0.006, false
-0.03, -0.03, 0.12, 0.006, true
-0.03, -0.02, -0.12, 0.006, false
-0.03, -0.01, 0.12, 0.006, true
-0.03, 0.0, -0.12, 0.006, false
-0.03, 0.01, 0.12, 0.006, true
-0.03, 0.02, -0.12, 0.006, false
-0.03, 0.03, 0.12, 0.006, true
-0.02, 0.03, -0.12, 0.006, false
-0.01, 0.03, 0.12, 0.006, true
0.0, 0.03, -0.12, 0.006, false
0.01, 0.03, 0.12, 0.006, true
0.02, 0.03, -0.12, 0.006, false
