Scintillators, correct, fake, neutrons, flux
1, 5,0,1.0e8,5.9171597633136086e7
2, 20,0,1.0e8,5.9171597633136086e7
3, 32,0,1.0e8,5.9171597633136086e7
4, 55,0,1.0e8,5.9171597633136086e7
5, 26,0,1.0e8,1.890359168241966e7
6, 43,0,1.0e8,1.890359168241966e7
7, 54,0,1.0e8,1.890359168241966e7
8, 60,0,1.0e8,1.890359168241966e7
9, 89,0,1.0e8,1.890359168241966e7
10, 119,0,1.0e8,1.890359168241966e7
11, 127,0,1.0e8,1.890359168241966e7
12, 185,2,1.0e8,1.890359168241966e7
13, 100,0,1.0e8,9.182736455463726e6
14, 115,1,1.0e8,9.182736455463726e6
15, 118,0,1.0e8,9.182736455463726e6
16, 152,0,1.0e8,9.182736455463726e6
17, 175,0,1.0e8,9.182736455463726e6
18, 184,0,1.0e8,9.182736455463726e6
19, 234,0,1.0e8,9.182736455463726e6
20, 244,1,1.0e8,9.182736455463726e6
21, 264,2,1.0e8,9.182736455463726e6
22, 327,0,1.0e8,9.182736455463726e6
23, 303,0,1.0e8,9.182736455463726e6
24, 378,1,1.0e8,9.182736455463726e6
25, 202,0,1.0e8,5.408328826392644e6
26, 221,1,1.0e8,5.408328826392644e6
27, 246,0,1.0e8,5.408328826392644e6
28, 263,0,1.0e8,5.408328826392644e6
29, 307,0,1.0e8,5.408328826392644e6
30, 302,0,1.0e8,5.408328826392644e6
31, 325,0,1.0e8,5.408328826392644e6
32, 373,0,1.0e8,5.408328826392644e6
