x, y, z, size, front
0.0, 0.0, 0.25, 0.006, true
0.01, 0.01, 0.25, 0.006, true
0.01, 0.0, -0.25, 0.006, false
0.01, -0.01, 0.25, 0.006, true
0.0, -0.01, -0.25, 0.006, false
-0.01, -0.01, 0.25, 0.006, true
-0.01, 0.0, -0.25, 0.006, false
-0.01, 0.01, 0.25, 0.006, true
0.0, 0.01, -0.25, 0.006, false
0.02, 0.02, 0.25, 0.006, true
0.02, 0.01, -0.25, 0.006, false
0.02, 0.0, 0.25, 0.006, true
0.02, -0.01, -0.25, 0.006, false
0.02, -0.02, 0.25, 0.006, true
0.01, -0.02, -0.25, 0.006, false
0.0, -0.02, 0.25, 0.006, true
-0.01, -0.02, -0.25, 0.006, false
-0.02, -0.02, 0.25, 0.006, true
-0.02, -0.01, -0.25, 0.006, false
-0.02, 0.0, 0.25, 0.006, true
-0.02, 0.01, -0.25, 0.006, false
-0.02, 0.02, 0.25, 0.006, true
-0.01, 0.02, -0.25, 0.006, false
0.0, 0.02, 0.25, 0.006, true
0.01, 0.02, -0.25, 0.006, false
