Incident energy, first deposit (MeV), second deposit (MeV), front detector, back detector, front event, back event 
43.74057647678728, 2.5410289, 10.0891047, 1, 5,1254960, 1254960
151.7700336729456, 0.357059, 0.583459, 2, 2,2276645, 2276645
60.93774577266345, 21.629187899999998, 10.0891047, 2, 5,1254960, 1254960
125.19100231050561, 3.4007490000000002, 0.0652215, 3, 6,7335032, 7335032
96.21134886148411, 14.78332, 0.00308464, 3, 9,7031177, 7031177
96.04228515920909, 15.2359477, 5.5704675, 3, 9,8210572, 8210572
62.669270468445575, 11.7717677, 8.0842347, 3, 12,7879783, 7879783
93.81194985527827, 14.817886000000001, 5.9482955, 4, 7,52612, 52612
103.8043457818278, 7.742237299999999, 4.7031998, 5, 12,7901088, 7901088
61.00741434326403, 10.9912508, 8.3129862, 6, 9,9486944, 9486944
74.79420106153304, 0.0420552, 0.858608, 7, 9,9676299, 9676299
242.44742089273427, 0.0357878, 0.284674, 7, 12,4714651, 4714651
47.73577401051534, 0.0104637, 12.6191, 8, 1,8148618, 8148618
214.8894465903802, 0.5286959999999999, 0.643235, 8, 12,59016, 59016
197.93428654970126, 8.418227, 3.4335677000000002, 9, 4,6138630, 6138630
185.31245637901998, 0.124907, 0.0889725, 9, 11,8207360, 8207360
3.017344348015058, 1.18773, 34.0989227, 10, 3,4454208, 4454209
58.15690450507816, 0.0155166, 19.6008, 11, 4,939888, 939888
13.912873487207662, 1.39053, 11.247, 11, 4,1569012, 1569012
100.21924471377292, 1.1403079, 4.8849379, 11, 5,3564984, 3564984
16.744073342031697, 1.7186886708, 13.8673323, 13, 6,693615, 693615
45.57653913896445, 41.35158, 1.74247827, 13, 10,3706856, 3706856
113.71053448866337, 2.335832, 4.2550266, 1, 6,825611, 825611
23.80082750713484, 20.90034, 25.76244, 2, 3,3611667, 3611666
39.457489625469975, 0.00130764, 6.0542738383, 2, 12,2475610, 2475610
13.539783523516121, 12.1756, 10.2042, 3, 4,9998700, 9998704
18.892221084668563, 12.6282, 4.42264, 4, 4,2826881, 2826881
8.17907458857644, 2.5110115000000004, 3.65765, 5, 5,4865624, 4865624
27.214276881807677, 15.628532, 0.32667824, 5, 10,4418864, 4418864
28.225505748369642, 0.013479, 8.72986, 6, 3,2521101, 2521101
157.67081829316885, 0.00650544, 9.861475, 6, 12,1791988, 1791988
161.6360323160709, 1.5963537, 3.2511771, 6, 12,7544736, 7544736
27.019937723796374, 0.000682669, 12.8466, 7, 1,1208926, 1208926
183.13327545034258, 1.68369, 3.1413306, 7, 8,6574399, 6574399
22.461075854894148, 9.30443, 16.527710000000003, 7, 9,7448295, 7448296
25.225085768273175, 2.69048, 21.538, 7, 12,1104005, 1104005
87.5877478059133, 36.8148507, 8.0959189, 7, 12,5785568, 5785568
2.4062964440749965, 1.07055, 9.69825, 10, 6,6880333, 6880335
156.44870055837055, 7.231841, 3.01737, 12, 1,7732132, 7732132
107.99145428109728, 1.48462, 3.0145759, 12, 1,9055997, 9055997
208.18553800807172, 0.210037, 1.84181, 12, 7,5497203, 5497203
3891.721521911902, 32.815882, 0.0635237, 12, 10,8772590, 8772592
109.50976191760105, 0.445538, 4.1718745, 13, 2,4951542, 4951542
219.92396747026714, 2.8536056, 2.32617, 13, 3,1924040, 1924040
191.39119052479236, 0.0323697, 7.4252923708, 13, 10,9835409, 9835409
60.78013117687988, 1.12116, 10.9682, 1, 7,5318342, 5318343
95.35442947142747, 1.7007745708, 4.8236188, 1, 8,5960378, 5960378
20.67869845515918, 0.284054, 0.121829, 1, 10,4366148, 4366149
17.22900376121163, 0.0739252, 0.0621329, 2, 10,7020836, 7020836
132.6092310582021, 3.373171, 0.00202348, 3, 4,895839, 895839
10.153541909016553, 9.0815, 0.547463, 3, 6,6583612, 6583614
183.91806082690232, 0.8682850000000001, 3.4063054, 3, 12,9629092, 9629092
31.957051828472572, 3.20276, 3.66379, 4, 10,6281374, 6281375
77.43386014686337, 10.950567800000002, 4.4243748, 4, 12,2000223, 2000223
27.103870543780317, 17.87399, 5.5166901653, 5, 6,1452328, 1452326
50.694061600663304, 2.7511, 1.763245, 5, 7,3356320, 3356320
46.480084529323676, 11.195260000000001, 11.9275, 6, 4,3590302, 3590302
130.70230674367258, 2.4035509999999998, 3.709428, 6, 5,740855, 740855
151.537822768438, 2.8722, 3.5670129000000004, 6, 6,8810880, 8810880
65.6680666767952, 32.6592334, 12.4508868, 6, 11,9660172, 9660172
145.47906204334163, 3.66609, 3.441174, 7, 1,6547532, 6547532
238.35707846724017, 1.63265, 2.1983361, 7, 2,1406737, 1406737
9.801423749724222, 6.0880117029, 0.0731789, 7, 9,4675703, 4675705
141.76093159415927, 3.2826896999999997, 0.026251, 7, 9,5634484, 5634484
70.86595637684923, 19.82564, 8.0569658, 8, 5,13810, 13810
218.74525741212574, 1.7269145, 2.5237809999999996, 8, 6,3698026, 3698026
203.18177255739351, 0.958562, 2.6639455, 8, 8,944756, 944756
206.8711834058804, 0.0378874, 1.712171, 10, 2,7149631, 7149631
3.2035829893377468, 0.00922099, 0.290762, 11, 2,4526034, 4526034
48.047658346358276, 2.418559, 9.875134390000001, 11, 8,7998207, 7998207
2.4203729048647347, 0.352223, 5.057276099999999, 11, 9,2190249, 2190248
62.447187881581385, 2.226178, 0.0283889, 11, 10,3464657, 3464657
121.03614744471474, 11.986962, 3.5319395, 11, 10,5568961, 5568961
177.38148192554786, 3.212262, 3.4823113, 11, 12,7729189, 7729189
111.91073775450877, 3.4562497000000003, 4.1587635999999994, 12, 6,1512789, 1512789
3.9005815693273007, 0.742254, 14.8368, 12, 11,3279474, 3279472
90.45123482673534, 34.3531522, 0.0512186, 13, 7,6207197, 6207197
53.74138156686422, 5.4109852, 8.0145865, 1, 4,9228386, 9228386
120.73536334380765, 0.441625, 0.433811, 1, 5,1936265, 1936264
103.00995026062901, 0.000632487, 5.072434, 1, 8,6942157, 6942157
1.4183912286299574, 0.144487, 5.5600613, 1, 11,806266, 806269
143.5029302077105, 3.537831, 32.958538, 2, 3,8730554, 8730554
36.86025419306088, 5.4260361999999995, 5.44538, 2, 9,2809333, 2809333
21.232419113944616, 17.206663, 1.37237, 4, 6,6904849, 6904849
98.90428474783334, 12.369576, 5.072434, 5, 8,6942157, 6942157
22.055665299539328, 17.42759, 5.3671434, 5, 10,5042108, 5042106
41.4487930936466, 1.69571, 10.464368200000001, 5, 12,521248, 521248
73.09970022802304, 0.18356, 5.44538, 6, 9,2809333, 2809333
95.70506751684388, 1.971250886, 2.92908, 7, 9,6396608, 6396608
44.39277212115917, 0.0100871, 22.24794, 9, 3,6487642, 6487642
56.41464635158377, 0.010366, 0.981895, 9, 6,5462356, 5462356
119.58506355745885, 2.7201940000000002, 4.4657395, 9, 11,7210558, 7210558
1.7695599501701054, 0.471246, 4.74542, 10, 10,629079, 629078
105.27161725778546, 0.0656608, 6.01714321, 11, 6,2736296, 2736296
168.69254100688545, 0.0915026, 4.245362, 11, 6,4519776, 4519776
55.82723355968619, 4.8282962000000005, 8.7065461, 12, 12,8454266, 8454266
209.42874635769908, 2.4673410000000002, 2.5964639999999997, 13, 10,9383579, 9383579
17.876849340403624, 0.00467859, 0.114271, 1, 6,9928143, 9928143
189.19138234736738, 2.8186118999999996, 0.0056598, 2, 1,6330657, 6330657
28.12856701027249, 6.04432, 12.00726, 2, 6,6702699, 6702700
383.2386787607784, 1.33806, 3.4634962, 2, 11,7032113, 7032113
59.3553357154716, 16.63095, 15.647741, 3, 3,5148114, 5148115
48.34138602074324, 2.95534, 6.6932464000000005, 3, 3,6237658, 6237658
55.9032445806771, 16.63095, 11.1343, 3, 10,5148114, 5148115
165.08867366249228, 3.165732, 3.4634962, 3, 11,7032113, 7032113
4.031996918170421, 0.300252, 11.0802, 6, 2,6114185, 6114184
73.41914692522948, 0.03857, 17.284399999999998, 6, 3,7190066, 7190066
113.27596846909455, 2.743715, 0.112801, 7, 3,373167, 373167
43.316048054878934, 0.00210595, 0.827078, 7, 6,4049083, 4049083
84.7970618260324, 3.8179809999999996, 0.0165933, 7, 7,6686958, 6686958
55.148044906470204, 1.579815, 7.7327739, 8, 1,2214259, 2214259
40.06046475576079, 1.42541, 10.833998300000001, 8, 3,6260044, 6260044
41.79073939060879, 40.395252, 4.8224496, 9, 8,4307167, 4307166
5.007980956082406, 0.0204643, 0.0839473, 11, 1,9562455, 9562455
54.70555629166847, 0.00661079, 0.0672, 11, 2,2999006, 2999006
107.32507777546175, 0.00478089, 23.820729999999998, 11, 3,9130947, 9130947
4.55691945933404, 3.52126, 10.6259, 12, 5,2113832, 2113834
67.4813189425413, 23.333376400000002, 9.389773400000001, 12, 9,7100551, 7100551
32.27595621859746, 8.47516569, 23.1866, 1, 11,9252373, 9252373
205.62805581887528, 3.89237, 2.5613077, 2, 2,7112813, 7112813
65.54859573817441, 10.856378, 0.578648, 4, 1,1934723, 1934723
37.89148519960406, 14.9759837, 22.2557, 4, 3,1990529, 1990529
20.822259803224938, 7.09897, 0.0502818, 4, 3,3133984, 3133985
27.333232098001645, 2.36443654, 24.0949, 4, 8,7248852, 7248852
106.57237101787268, 18.381554, 5.016513799999999, 5, 2,4635373, 4635373
87.94259862435979, 9.6570244, 5.0866551, 5, 6,9200391, 9200391
85.41790113461559, 4.704356000000001, 5.059342099999999, 5, 10,3133323, 3133323
167.551351201972, 1.0564602, 3.4972102, 6, 3,1994543, 1994543
9.986719743288177, 8.28419, 15.442787670800001, 6, 7,6890777, 6890778
81.2969604680411, 4.1816768, 5.4244873, 6, 7,8315682, 8315682
55.555186030948335, 34.521530999999996, 20.1485, 7, 7,3936282, 3936282
76.68872739230187, 17.323026, 3.0860874999999997, 8, 2,4936154, 4936154
26.116855029142357, 5.07356, 3.81855, 8, 12,6725692, 6725692
49.61085007381985, 0.00132742, 1.15247, 9, 8,2852004, 2852004
73.93466712531654, 15.4844759, 7.1517231, 9, 8,7655112, 7655112
206.52168064218813, 0.227988, 2.8718025000000003, 10, 4,7852186, 7852186
18.253281487458366, 16.900550000000003, 0.983173, 10, 4,9018033, 9018033
239.84291102134716, 0.0224701, 0.0799704, 10, 8,5998023, 5998023
125.0289997849568, 0.27186, 1.8624200000000002, 11, 5,3497594, 3497594
14.41210962134619, 11.3041, 0.390262, 11, 6,4161820, 4161819
174.4815720701688, 23.284911400000002, 3.6618991, 12, 3,1702043, 1702043
98.39593100305251, 2.432942, 4.221669, 12, 11,5085886, 5085886
218.6109391120026, 0.0539898, 50.73899, 13, 3,2576031, 2576031
2.5373621524886403, 0.841352, 0.0315479, 13, 3,7555359, 7555357
7.990577343202631, 0.000994877, 3.72708, 1, 6,2783037, 2783035
40.135063980693644, 0.0075573, 9.0103502808, 1, 10,4704196, 4704196
2.6036455036506823, 1.36825, 0.489211, 3, 1,6427408, 6427409
98.43168394273675, 29.5717156, 6.3392219, 3, 7,2754945, 2754945
196.03096785501543, 1.2377, 3.0871106999999998, 3, 10,4947907, 4947907
31.57692375633269, 8.0332241, 0.013927559999999999, 3, 11,9351473, 9351473
56.39733092206677, 39.820804, 0.68058, 4, 9,8383257, 8383257
12.588900942201349, 0.0687403, 22.79196, 5, 11,1999081, 1999083
41.23637944769041, 8.0050354, 12.8920159, 6, 2,1412788, 1412788
19.015072036555125, 5.6547, 0.0062801, 6, 5,217723, 217723
30.15276734016743, 28.629440000000002, 5.9824546000000005, 7, 2,8998265, 8998264
22.000121408417954, 0.219972, 20.7128, 7, 4,4337191, 4337191
89.4938397281901, 0.0147201, 12.5961876708, 8, 1,1381462, 1381462
185.38051532746886, 1.1783462, 0.823985, 8, 10,4058245, 4058245
56.48185098808142, 0.0159866, 0.013927559999999999, 8, 11,9351473, 9351473
18.72306966612291, 0.0127667, 0.31258, 9, 12,6598995, 6598995
60.46015943027567, 0.02566, 1.14489, 10, 4,1888390, 1888390
25.14581870369034, 0.00933328, 11.78703, 11, 12,9793589, 9793589
63.58501492877872, 15.837526, 8.383027700000001, 12, 3,999555, 999555
89.48242138358023, 3.448665, 5.9556716, 12, 3,2472382, 2472382
85.91478313247876, 3.448665, 0.0669919, 12, 4,2472382, 2472382
136.82176727121896, 1.4339856, 3.7868074000000003, 12, 5,1991806, 1991806
110.82778430709413, 3.7895417, 4.3657408, 13, 4,1748683, 1748683
87.41892167325614, 45.8757765, 10.1650379, 1, 2,9352242, 9352242
113.51357017525038, 0.358037, 4.3306719, 2, 10,819873, 819873
46.09016183633628, 28.98636, 0.0227632, 2, 10,9182552, 9182552
163.0877356739145, 2.1981449, 3.072933, 3, 7,4577160, 4577160
119.37115776066821, 22.43909, 4.7167501, 5, 9,7666659, 7666659
155.44207358811832, 0.968991, 0.465066, 7, 3,9042648, 9042649
47.43535130645762, 9.019489900000002, 10.5917448, 7, 7,4940597, 4940597
169.95407062256754, 3.4053826708000003, 2.939501, 8, 10,6865814, 6865814
173.398925518321, 36.993706625, 3.7839401, 9, 3,4175453, 4175453
55.80783818417592, 6.5259625, 8.362885899999998, 10, 3,3661381, 3661381
178.90180178631203, 0.742632, 3.0869609999999996, 10, 4,1481133, 1481133
18.1597528577214, 2.01214, 0.094773, 10, 8,5054706, 5054707
27.96038789802128, 0.223168, 0.0408166, 10, 11,2027141, 2027142
35.09462102288114, 2.1407561, 12.907, 12, 9,6009947, 6009947
46.72160363625642, 3.0573053800000003, 9.407144299999999, 13, 5,4531032, 4531032
16.017917500132853, 6.6085400000000005, 0.881274, 1, 1,6701341, 6701342
210.61991772237388, 0.0121416, 2.67795, 1, 4,6554360, 6554360
38.04686891438655, 5.91126, 14.0207476, 3, 2,7781365, 7781365
61.106379889580694, 0.862325, 6.8502397, 3, 10,8444619, 8444619
6.3867300014051125, 0.147094, 3.27386, 3, 11,482706, 482707
98.9782498919651, 4.1567386, 2.4671404000000003, 5, 1,9023822, 9023822
127.01726421072726, 29.245554, 0.206511, 5, 2,6016317, 6016317
147.56625822521255, 4.1120574708, 3.2374041, 5, 3,8816138, 8816138
57.8243139129446, 34.314921399999996, 22.4478, 6, 7,5464981, 5464981
65.20811146206131, 2.7367179000000004, 28.9128819, 6, 9,98536, 98536
10.29551819160963, 6.361043199999999, 6.37186, 7, 10,7278697, 7278700
49.90427956576707, 36.9466428, 11.8624, 7, 12,729253, 729253
76.37073268470385, 32.9677582, 0.979456, 8, 4,6846023, 6846023
9.024519585451458, 7.99095, 3.4373544999999996, 8, 6,7497817, 7497818
168.10995276109543, 3.5, 2.6998626000000003, 10, 2,6882633, 6882633
198.6605765555846, 0.9237549, 2.5543437, 10, 12,2806667, 2806667
95.48999968067096, 0.210617, 4.4811455, 11, 7,3416581, 3416581
25.255045348044632, 12.3594, 11.7446, 11, 11,4981621, 4981621
23.728388089150712, 14.1349176708, 0.0900805, 13, 9,3971514, 3971515
31.28698391667274, 0.000445894, 14.5596, 13, 11,7204564, 7204564
29.671089655124092, 0.00583454, 3.60869, 2, 6,2123680, 2123680
83.48778806908945, 7.302966, 5.4147352, 2, 9,7951040, 7951040
139.40493016442974, 0.337417, 0.367006, 2, 10,4788500, 4788501
172.90122248776447, 0.0338234, 1.434484, 3, 3,9173864, 9173864
53.67328704874342, 12.088238, 7.037369999999999, 3, 12,5181053, 5181051
43.9599113744016, 0.00189261, 11.510676670799999, 4, 9,1084504, 1084504
79.76820443170288, 1.73108, 5.7518559, 6, 2,7735312, 7735312
16.04016209314136, 0.0595702, 0.25141405, 6, 11,1536383, 1536383
38.00016017780342, 20.70403, 0.0862356, 6, 12,7729745, 7729745
51.5225348619731, 0.123334, 0.012499, 7, 11,2714386, 2714386
133.94204531903733, 0.422003, 2.54948, 8, 1,5061888, 5061888
238.5577985948098, 0.7314461999999999, 2.6042874, 8, 4,3308387, 3308387
92.11700264474166, 7.3126201, 5.521737, 9, 2,2770844, 2770844
2.2560084774706866, 0.952032, 0.115368, 10, 4,1819950, 1819949
22.98930229204916, 13.524989999999999, 8.05831, 11, 7,3231606, 3231606
221.05855507599654, 2.984819, 2.6991093, 11, 8,6767867, 6767867
47.075682110266484, 29.119431288, 17.0117, 12, 9,8513244, 8513244
18.87005260897024, 17.7394076708, 4.54761, 12, 11,2350475, 2350476
6.622163100698003, 0.995062, 4.09628, 13, 1,336815, 336816
17.227893397352204, 0.515113, 0.0131656, 13, 12,5937800, 5937801
2.474209474099439, 0.30606699, 1.68916, 1, 3,1458502, 1458503
13.327343804380689, 0.0725773, 0.971711, 2, 7,1494121, 1494123
2.929166233781075, 0.385625, 0.43567, 2, 11,3055759, 3055760
117.89647554104158, 9.2613175, 4.230201, 3, 2,1918723, 1918723
70.73223534388649, 0.52851, 6.1839304, 3, 8,9143522, 9143522
31.168360890716144, 0.00358793, 3.74871, 4, 1,9030826, 9030826
60.46470916286637, 9.1936055, 7.5280168, 4, 2,422816, 422816
23.491079096146677, 21.531211999999996, 6.608145899999999, 4, 12,9037093, 9037094
85.04329836442173, 17.7949464, 6.1672053, 5, 3,4654167, 4654167
66.79664404961761, 17.967809289999998, 8.492928000000001, 5, 5,6728197, 6728197
185.39236053977152, 2.7265992000000003, 2.9008528, 6, 5,9496239, 9496239
143.83592623856293, 2.0172116, 3.4702533, 6, 7,5126775, 5126775
186.9121241848236, 0.10989, 17.961565, 8, 9,8652098, 8652098
71.28250063214568, 10.52160001, 7.1932068, 11, 5,1017319, 1017319
110.94203076788699, 16.8271433389, 4.7749105599999995, 11, 9,5472026, 5472026
133.8437664844255, 0.3621606, 0.16623090999999998, 12, 5,8032772, 8032772
17.044919273402797, 1.92978, 13.8538, 13, 8,5114323, 5114323
4.681147978810259, 0.342799, 0.0543572, 1, 3,8262419, 8262418
3.0818478589699225, 0.688708, 12.27228, 1, 7,8866758, 8866760
163.10513911323164, 2.0955547, 2.815399, 3, 2,7142523, 7142523
136.76306965719868, 15.986109, 3.9320484, 3, 3,9731984, 9731984
19.421548018201975, 5.9951845771, 12.3108, 3, 6,1276977, 1276977
26.63078808314185, 0.0043245, 2.6000633499999997, 5, 1,5117255, 5117255
69.90871222444093, 5.2010007, 6.4188873, 5, 1,6441549, 6441549
78.79068243216284, 5.012342, 5.8735173, 5, 10,4026770, 4026770
145.36594032708945, 0.924687, 3.3998761, 6, 10,39049, 39049
68.90139677010598, 14.7740195, 8.0052105, 7, 3,6713556, 6713556
125.673874170722, 3.1763244, 3.61640352, 8, 2,4241965, 4241965
136.76318760892036, 13.9287909, 3.7861702, 8, 12,2509673, 2509673
24.89597511629586, 7.32646, 16.4907, 9, 5,5737096, 5737096
15.963824814523264, 7.46246, 7.02668, 9, 7,6719019, 6719019
51.08725296748912, 0.0142616, 0.7276193999999999, 9, 9,8855513, 8855513
145.935957696586, 7.0487131, 3.28781, 10, 4,98099, 98099
35.36815767965527, 19.72432, 14.6346, 10, 11,1163142, 1163142
109.97823726977708, 3.5716756, 4.4066876, 11, 2,1977965, 1977965
66.04230766992839, 8.5086023, 6.773282200000001, 12, 4,3879665, 3879665
177.56936896588945, 3.0554430000000004, 2.118288, 12, 5,2221928, 2221928
7.043950354017511, 0.124619, 2.81073, 12, 8,3796806, 3796808
208.75391159884703, 0.792818, 2.497012, 12, 10,3225297, 3225297
12.546715615791754, 0.53363, 10.7949, 12, 11,9214729, 9214729
126.12182892626834, 1.19421, 3.2756105, 13, 1,7652395, 7652395
189.46805070892083, 5.57923, 3.033319, 13, 7,5472227, 5472227
62.07270766782722, 0.748217, 7.4457968, 1, 7,7087179, 7087179
2.3116242544018633, 1.050609, 14.63988, 1, 10,4025366, 4025365
14.225522432018806, 10.148193, 0.16459, 2, 4,4368111, 4368110
57.7066953963249, 3.12161686, 7.44742, 2, 5,5642730, 5642730
81.91087286040681, 45.302376699999996, 0.0467352, 3, 2,1000316, 1000316
24.769955023998023, 16.5669, 6.7107054999999995, 3, 8,9635010, 9635010
47.80184240138874, 2.50348, 0.00732578, 3, 8,9678968, 9678968
19.18125685799089, 3.468027, 14.5902, 3, 9,1072027, 1072027
82.08173821846037, 23.439048500000002, 1.9962788999999999, 3, 12,675614, 675614
169.30363030140256, 2.05003, 3.3546151, 4, 1,3312341, 3312341
207.63655265939724, 1.8046487999999998, 0.0786876, 4, 10,3904680, 3904680
236.3151972811488, 1.8046487999999998, 2.192578, 4, 12,3904680, 3904680
110.6688743431423, 5.853446, 4.0869194, 6, 5,7140375, 7140375
16.97191448692331, 9.25105, 5.96394, 6, 7,3255959, 3255959
214.01067503001582, 1.908848, 2.864011, 6, 8,610168, 610168
230.47559826970542, 0.1145321, 0.00732578, 7, 8,9678968, 9678968
13.148738599844023, 0.0212348, 9.6872839, 7, 9,201516, 201517
54.96616701949392, 34.38382, 8.24264, 8, 11,4382340, 4382340
1.4480577205509917, 0.0791587, 19.461299999999998, 9, 4,4204122, 4204121
78.0285443833468, 2.9053017, 5.41866, 12, 4,340551, 340551
182.1397409668616, 0.638705, 0.670678, 1, 11,7164565, 7164564
92.73972606129746, 0.00556986, 0.2017, 2, 1,2454893, 2454893
150.50831446062352, 1.8461767999999998, 3.3589507, 2, 9,1294620, 1294620
11.86840287506675, 9.932102, 1.0929, 3, 3,5023465, 5023465
6.311506717041311, 5.267639, 1.23588, 3, 10,8004313, 8004311
87.84847319817095, 0.0358119, 1.17257, 4, 5,9785834, 9785834
23.914166634124058, 22.21754, 0.918285, 5, 1,4124496, 4124495
165.15110932667176, 2.1511524, 0.0396843, 5, 9,5449090, 5449090
124.52950094746438, 21.900411899999998, 4.338393, 6, 4,9297116, 9297116
453.86130773761124, 0.0748236, 3.3589507, 6, 9,1294620, 1294620
3.0403434681381896, 0.0583814, 38.26788, 6, 10,8433904, 8433905
230.19359997334914, 0.651566, 2.3343352, 6, 12,857994, 857994
103.85845008934916, 0.00191346, 18.31534, 7, 6,3178557, 3178557
2.634143172676886, 0.680506, 1.0929, 8, 3,5023465, 5023465
2.739404014696106, 1.01785, 0.788592, 8, 7,979439, 979440
63.277425531391145, 5.0038148, 7.311807, 8, 11,7462188, 7462188
41.13036872106443, 0.0270344, 2.6941514, 9, 11,8961616, 8961616
80.26556174071766, 4.7335234, 4.5051856, 10, 6,3908785, 3908785
92.45145474237052, 9.238262, 5.5558713, 11, 6,217360, 217360
19.84524792741388, 4.41509, 14.2321, 11, 12,2207137, 2207137
1.489228855179931, 0.310701, 2.56208, 12, 8,6809175, 6809176
75.14903893108226, 4.468727, 5.742492, 13, 1,5779284, 5779284
142.89311808168395, 4.1097173, 3.671739, 13, 4,8090363, 8090363
1.686203187884189, 0.0838057, 7.41835, 1, 1,3739415, 3739416
116.91617779973171, 3.5059011, 4.2615033, 2, 2,7886372, 7886372
6.232279109392152, 3.7119248, 1.40515, 2, 3,2868763, 2868762
170.0225513908165, 20.772114094000003, 0.7162459999999999, 2, 9,6663002, 6663002
21.348129559931863, 10.0561, 10.0795, 3, 3,2021951, 2021951
54.93544726482105, 5.635091, 8.2985546, 3, 4,3039160, 3039160
84.29276535751922, 1.8062814999999999, 5.9288594, 3, 10,920680, 920680
43.88509980712229, 17.3029386217, 19.0541, 4, 8,6844722, 6844722
89.76733195745578, 1.3686610000000001, 4.976999200000001, 4, 11,1038722, 1038722
36.036923979234416, 0.0472675, 0.420971, 5, 2,7638348, 7638347
19.213535913481564, 7.731330000000001, 0.969927, 5, 2,8535689, 8535689
42.68805656276493, 6.4289226, 11.2879176, 5, 8,6896767, 6896767
165.57002493850587, 16.448695400000002, 3.5982232, 6, 5,3984707, 3984707
3.1375779649308697, 0.024739, 0.440142, 6, 7,1736213, 1736213
173.73047911207163, 1.9530766708, 2.8557856999999998, 6, 12,7210666, 7210666
10.81525598732776, 0.00427139, 0.106114, 7, 11,1824932, 1824932
61.850830205254624, 33.104371454, 23.779575, 8, 2,8939489, 8939489
82.3368668933399, 18.551170000000003, 6.8359868, 8, 12,2816512, 2816512
4.885491640615896, 0.0535355, 0.122294, 9, 1,4789596, 4789598
87.22214198864594, 11.842936, 0.47651, 10, 5,3258180, 3258180
42.803248229308565, 19.92376, 21.9, 10, 12,803228, 803228
37.60164609047865, 8.5605633, 15.4377, 11, 4,2953494, 2953494
51.87983914186498, 2.950269, 8.4022036, 12, 3,7856407, 7856407
65.81196646768399, 5.5774878, 0.00245901, 13, 11,4491332, 4491332
10.043438566498367, 0.235621, 0.426653, 1, 3,4756780, 4756777
44.56563395496323, 5.599646300000001, 10.580691400000001, 1, 6,2233747, 2233747
106.87559694037691, 2.5096119999999997, 4.7435197, 1, 7,7755055, 7755055
55.5161377433883, 5.641369, 7.90111, 1, 7,8976360, 8976360
70.32747223985962, 0.00857619, 29.6523476708, 2, 6,6343283, 6343283
1.4916948693130507, 0.255526, 0.0201843, 2, 9,2698640, 2698639
132.90276968184253, 0.00869224, 0.952676, 3, 1,3464103, 3464103
1.3224892707063418, 0.000276425, 1.04485, 3, 8,1376992, 1376992
135.93937895536874, 17.9788113, 3.56931, 4, 5,3924450, 3924450
61.90891043097872, 0.00151751, 21.827399999999997, 4, 9,4699873, 4699873
116.59205397135133, 5.863367, 4.1601170000000005, 5, 1,5877194, 5877194
8.03270122981587, 2.556, 19.68442, 5, 12,6945407, 6945409
146.21252434805228, 8.0822044, 3.884524, 6, 5,2073982, 2073982
13.610699778498429, 8.44568, 3.07514, 6, 6,1155602, 1155602
37.01323044113815, 6.22781, 15.3849571, 6, 8,4360440, 4360440
2.33428519921722, 0.892445, 0.581401, 6, 11,7100659, 7100658
154.2143814643307, 6.212608, 3.2344083, 7, 2,6883390, 6883390
11.694569643068462, 8.01124, 4.0523, 7, 4,56857, 56858
3.209171112571653, 0.712449, 1.65423, 7, 11,1299393, 1299394
106.21058050441275, 18.4142164, 4.7305338, 7, 11,3808716, 3808716
113.35830960431963, 0.0283986, 25.16507, 8, 4,207993, 207992
149.60947359303145, 2.3548495, 1.05713, 8, 7,4117212, 4117212
100.6460763573341, 0.0283986, 4.90104239, 8, 11,207993, 207992
20.961739791452146, 4.3655167, 5.4247164, 9, 3,2983675, 2983676
1.6640324319364481, 0.0783513, 0.276368, 10, 6,2350940, 2350942
56.09244069263195, 6.345157670800001, 8.417465100000001, 10, 11,8034404, 8034404
76.49538953414276, 2.7171545999999998, 16.15131, 11, 5,9642289, 9642292
8.000016159024767, 6.96228, 7.91548, 12, 2,2114930, 2114932
240.8315212210032, 1.3041002000000002, 2.7409898000000004, 12, 12,3166712, 3166712
1.9562738125626993, 0.315871, 36.451557199999996, 13, 2,2109489, 2109490
141.59546412481927, 0.207557, 3.5419110000000003, 13, 4,4385710, 4385710
571.4357413879757, 0.0720874, 0.660252, 13, 5,2391035, 2391037
8.874770543087266, 7.856859999999999, 3.9997122999999997, 1, 10,1483711, 1483712
100.01877185171975, 1.8566345000000002, 4.4950916, 1, 11,4364028, 4364028
119.70996463615188, 2.9732855, 3.6915559, 2, 4,4526720, 4526720
51.60984788892597, 0.00321744, 0.256518, 2, 12,1170954, 1170954
160.06182976444939, 0.41032199999999996, 1.0138002, 7, 1,5950957, 5950957
150.35421161504883, 0.41032199999999996, 0.0377777, 7, 2,5950957, 5950957
3.370522332924679, 0.0578807, 0.272464, 7, 5,1328519, 1328520
188.89402409668924, 10.21328, 0.232868, 8, 5,6914705, 6914709
32.2972444655494, 0.000848547, 10.051014200000001, 9, 8,2225716, 2225716
