Scintillators, correct, fake, neutrons, flux
10, 2642,0,2.5e8,2.2956841138659317e7
12, 1873,0,2.5e8,2.2956841138659317e7
14, 1423,2,2.5e8,2.2956841138659317e7
16, 1085,1,2.5e8,2.2956841138659317e7
18, 852,1,2.5e8,2.2956841138659317e7
20, 736,0,2.5e8,2.2956841138659317e7
22, 588,1,2.5e8,2.2956841138659317e7
24, 501,1,2.5e8,2.2956841138659317e7
26, 437,0,2.5e8,2.2956841138659317e7
28, 355,0,2.5e8,2.2956841138659317e7
30, 327,2,2.5e8,2.2956841138659317e7
32, 278,0,2.5e8,2.2956841138659317e7
34, 248,0,2.5e8,2.2956841138659317e7
36, 215,0,2.5e8,2.2956841138659317e7
38, 181,0,2.5e8,2.2956841138659317e7
40, 170,0,2.5e8,2.2956841138659317e7
42, 154,0,2.5e8,2.2956841138659317e7
44, 136,0,2.5e8,2.2956841138659317e7
46, 118,0,2.5e8,2.2956841138659317e7
48, 134,1,2.5e8,2.2956841138659317e7
50, 116,1,2.5e8,2.2956841138659317e7
0, 180,0,1.0e8,9.182736455463726e6
0, 16,0,1.0e7,918273.6455463727
0, 196,50589,1.0e8,9.182736455463726e6
0, 157,0,1.0e8,9.182736455463726e6
0, 191,4441,1.0e8,9.182736455463726e6
